,city,community,latitude,longitude,type,price,address,beds,sq_feet,baths,cats,dogs,utilities_included
3359,Calgary,Beltline,51.0388062,-114.0801787,Condo Unit,2100,204 - 817 15th Ave SW,1+den,658,1,0,0,"['Heat', 'Water']"
3360,Calgary,Bridgeland,51.0578789,-114.0499298,Condo Unit,2100,403 - 718 5 St NE,2,1000,1,2,2,"['', 'Heat', 'Water']"
3361,Calgary,Mission,51.0344478,-114.0703561,Condo Unit,2100,510 - 328 21 Ave SW,1+den,835,1,0,0,"['Heat', 'Water']"
3362,Calgary,Haysboro,50.9746499,-114.07466,Condo Unit,2200,8880 Horton Road SW,2,1035,2,0,0,['']
3363,Calgary,Redstone,51.1705787,-113.9651927,Townhouse,2200,37 - 37 Redstone Circle Northeast,3,1327,2.5,0,0,['']
3364,Calgary,Willow Park,50.9619167,-114.0600523,Apartment,2169,364 99 Ave. SE,3,937,1,2,2,['Heat']
3365,Calgary,Tuxedo,51.0703071,-114.0596592,Condo Unit,2200,306 - 201 20 Avenue Northeast,2,824,1,0,0,"['Heat', 'Water']"
3366,Calgary,Huntington Hills,51.1261302,-114.0535275,Main Floor,2200,,3+den,1100,1,0,0,['Internet']
3367,Calgary,Panorama Hills,51.1580725,-114.0722122,Condo Unit,2100,5207 - 70 Panamount Dr NW,2,933,2,0,0,"['Heat', 'Electricity', 'Water', 'See Full Description', '']"
3368,Calgary,Carrington,51.18257953,-114.0906735,Condo Unit,2150,311 - 80 Carrington Plaza Northwest,2,725,2,0,0,['Water']
3369,Calgary,Downtown,51.0471118,-114.0588037,Condo Unit,2100,221 6 Ave SE,1+den,700,1,0,0,"['Heat', 'Water']"
3370,Calgary,Seton,50.8706278,-113.9569217,Condo Unit,2100,1411 - 200 Seton Circle Southeast,2,630,1,0,0,"['Heat', 'Water', 'See Full Description']"
3371,Calgary,Somerset,50.8956197,-114.0698953,Condo Unit,2200,6000 Somervale Court Southwest,2,835,2,0,0,"['Heat', 'Electricity', 'Water']"
3372,Calgary,Connaught,51.0400152,-114.0911857,Condo Unit,2200,1414 12 St SW,2,851,1,0,0,"['Heat', 'Water']"
3373,Calgary,Victoria Park,51.0387326,-114.0633416,Apartment,2175,503 - 108 15 Ave SE,2,920,1,2,0,"['Heat', 'Electricity', 'Water']"
3374,Calgary,Thorncliffe,51.10882,-114.061987,Townhouse,2119,6440 Centre St. NE,3,982,1,2,2,"['Heat', 'Water']"
3375,Calgary,Beltline,51.044048,-114.0837178,Condo Unit,2100,910 10 Avenue Southwest,1,,1,0,0,"['Heat', 'Water']"
3376,Calgary,Somerset,50.894957,-114.069808,Apartment,2150,404 5500 Somervale Court,2,900,2,0,0,"['Heat', 'Electricity', 'Water', '']"
3377,Calgary,Seton,50.8690258,-113.938887,Duplex,2150,20345 45 Street Southeast,3,,2.5,0,2,['']
3378,Calgary,Legacy,50.86226965,-114.0224676,Condo Unit,2175,1121 - 81 Legacy Blvd SE,2,705,2,2,2,"['Heat', 'Water']"
3379,Calgary,Skyview,51.1651584,-113.9567176,Condo Unit,2100,609 - 4641 128 Ave NE,2,670,1,2,0,"['Heat', 'Electricity', 'Internet', 'Water', 'See Full Description']"
3380,Calgary,Marlborough Park,51.0633543,-113.9544106,Townhouse,2100,36 - 195 Manora Place Northeast,3,1136,1,2,0,['Water']
3381,Calgary,Cranston,50.8622877,-113.9715151,Condo Unit,2150,2306 - 42 Cranbrook Gardens Southeast,2,918,2,0,0,['Water']
3382,Calgary,Country Hills Village,51.161943,-114.0578708,Condo Unit,2200,5409 - 69 Country Village Manor NE,2,843,2,0,0,"['Heat', 'Water']"
3383,Calgary,Livingston,51.18837284,-114.0769709,Townhouse,2200,310 Lucas Avenue Northwest,3,1371,2.5,2,0,['']
